,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
15310,2015,Property Damage Accident,2015-01-30,JEFFERSON,OTHER,SCHOHARIE,Straight and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15311,2015,Property Damage Accident,2015-01-30,CORTLANDT,OTHER,WESTCHESTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15341,2015,Injury Accident,2015-01-30,EDMESTON,OTHER,OTSEGO,Straight and Grade,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15345,2015,Property Damage & Injury Accident,2015-01-27,SHERBURNE,OTHER,CHENANGO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15355,2015,Injury Accident,2015-01-30,GENESEO,OTHER,LIVINGSTON,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15368,2015,Property Damage & Injury Accident,2015-01-30,WESTERLO,OTHER,ALBANY,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15372,2015,Property Damage Accident,2015-01-30,GHENT,OTHER,COLUMBIA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15396,2015,Property Damage Accident,2015-01-27,LEDYARD,OTHER,CAYUGA,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15397,2015,Property Damage Accident,2015-01-31,MAINE,OTHER,BROOME,Curve and Grade,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15399,2015,Property Damage & Injury Accident,2015-01-30,MONTEZUMA,OTHER,CAYUGA,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15430,2015,Property Damage Accident,2015-01-27,MOREAU,OTHER,SARATOGA,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15456,2015,Property Damage Accident,2015-01-30,MARATHON,OTHER,CORTLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15458,2015,Property Damage & Injury Accident,2015-01-30,WILLSBORO,OTHER,ESSEX,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15611,2015,Property Damage & Injury Accident,2015-01-31,CANAJOHARIE,OTHER,MONTGOMERY,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15620,2015,Property Damage Accident,2015-02-01,AMSTERDAM,OTHER,MONTGOMERY,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15705,2015,Property Damage Accident,2015-02-01,ROMULUS,OTHER,SENECA,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15719,2015,Property Damage Accident,2015-01-29,DE KALB,OTHER,ST. LAWRENCE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15728,2015,Property Damage & Injury Accident,2015-01-18,WARWICK,OTHER,ORANGE,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15739,2015,Property Damage Accident,2015-01-30,MIDDLETOWN,OTHER,DELAWARE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15743,2015,Property Damage Accident,2015-01-27,HAMDEN,OTHER,DELAWARE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15765,2015,Property Damage Accident,2015-02-01,BYRON,OTHER,GENESEE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15816,2015,Property Damage & Injury Accident,2015-01-30,GEDDES,OTHER,ONONDAGA,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15837,2015,Property Damage & Injury Accident,2015-02-01,VESTAL,OTHER,BROOME,Curve at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15846,2015,Property Damage & Injury Accident,2015-01-30,PHELPS,OTHER,ONTARIO,Straight at Hill Crest,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15866,2015,Property Damage Accident,2015-02-02,DELHI,OTHER,DELAWARE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15873,2015,Property Damage Accident,2015-01-30,CONCORD,OTHER,ERIE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15904,2015,Property Damage Accident,2015-02-01,HAMBURG,OTHER,ERIE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15959,2015,Property Damage Accident,2015-02-02,HAMPTONBURGH,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15969,2015,Property Damage Accident,2015-01-30,PLAINFIELD,OTHER,OTSEGO,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15976,2015,Property Damage & Injury Accident,2015-01-27,CHILI,OTHER,MONROE,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15986,2015,Injury Accident,2015-01-18,LIBERTY,OTHER,SULLIVAN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15987,2015,Property Damage & Injury Accident,2015-01-30,WESTMORELAND,OTHER,ONEIDA,Straight and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15988,2015,Property Damage & Injury Accident,2015-01-28,CHERRY VALLEY,OTHER,OTSEGO,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
15999,2015,Property Damage Accident,2015-01-26,OXFORD,OTHER,CHENANGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16009,2015,Property Damage Accident,2015-01-30,KIRKWOOD,OTHER,BROOME,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16013,2015,Property Damage Accident,2015-01-22,GENESEE FALLS,OTHER,WYOMING,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16044,2015,Injury Accident,2015-01-26,SOUTHEAST,OTHER,PUTNAM,Straight and Level,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16046,2015,Property Damage Accident,2015-01-15,WARSAW,OTHER,WYOMING,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16078,2015,Property Damage Accident,2015-02-02,,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16092,2015,Property Damage Accident,2015-01-17,JAVA,OTHER,WYOMING,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16098,2015,Property Damage Accident,2015-02-01,CATLIN,OTHER,CHEMUNG,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16099,2015,Property Damage Accident,2015-01-29,LANSING,OTHER,TOMPKINS,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16101,2015,Property Damage Accident,2015-01-30,DRYDEN,OTHER,TOMPKINS,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16104,2015,Property Damage Accident,2015-01-29,MAMAKATING,OTHER,SULLIVAN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16113,2015,Property Damage Accident,2015-01-31,ST. JOHNSVILLE,OTHER,MONTGOMERY,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16263,2015,Property Damage & Injury Accident,2015-02-02,COLONIE,OTHER,ALBANY,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16382,2015,Property Damage Accident,2015-02-02,WATERLOO,OTHER,SENECA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16450,2015,Property Damage & Injury Accident,2015-01-30,SHELBY,OTHER,ORLEANS,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16451,2015,Property Damage & Injury Accident,2015-02-01,CLARENDON,OTHER,ORLEANS,Curve and Level,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16483,2015,Property Damage Accident,2015-01-30,COXSACKIE,OTHER,GREENE,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16485,2015,Property Damage Accident,2015-01-30,CATSKILL,OTHER,GREENE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16588,2015,Property Damage & Injury Accident,2015-02-03,SPARTA,OTHER,LIVINGSTON,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16609,2015,Property Damage & Injury Accident,2015-02-02,THURSTON,OTHER,STEUBEN,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16639,2015,Property Damage & Injury Accident,2015-01-28,MILLBROOK,OTHER,DUTCHESS,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16640,2015,Property Damage & Injury Accident,2015-01-30,YONKERS,OTHER,WESTCHESTER,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16657,2015,Property Damage Accident,2015-02-02,CHILI,OTHER,MONROE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16685,2015,Property Damage & Injury Accident,2015-02-02,CANADICE,OTHER,ONTARIO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16690,2015,Property Damage Accident,2015-02-02,MEREDITH,OTHER,DELAWARE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16768,2015,Property Damage Accident,2015-01-26,STONY POINT,OTHER,ROCKLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16781,2015,Property Damage Accident,2015-02-03,PLEASANT VALLEY,OTHER,DUTCHESS,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16805,2015,Property Damage & Injury Accident,2015-01-29,CLYMER,OTHER,CHAUTAUQUA,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16933,2015,Property Damage Accident,2015-01-30,SAUGERTIES,OTHER,ULSTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16967,2015,Property Damage Accident,2015-01-29,EAST OTTO,OTHER,CATTARAUGUS,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16970,2015,Property Damage Accident,2015-02-02,ALLEGANY,OTHER,CATTARAUGUS,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16973,2015,Property Damage Accident,2015-01-21,PORTVILLE,OTHER,CATTARAUGUS,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
16975,2015,Property Damage Accident,2015-01-24,EAST OTTO,OTHER,CATTARAUGUS,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17104,2015,Property Damage Accident,2015-01-27,MENDON,OTHER,MONROE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17117,2015,Property Damage Accident,2015-01-16,HENRIETTA,OTHER,MONROE,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17121,2015,Property Damage & Injury Accident,2015-01-27,WHEATLAND,OTHER,MONROE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17137,2015,Injury Accident,2015-01-09,MENDON,OTHER,MONROE,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17160,2015,Property Damage & Injury Accident,2015-01-27,SCHODACK,OTHER,RENSSELAER,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17239,2015,Property Damage Accident,2015-01-29,OTISCO,OTHER,ONONDAGA,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17248,2015,Injury Accident,2015-01-29,CICERO,OTHER,ONONDAGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17270,2015,Property Damage & Injury Accident,2015-01-28,FARMINGTON,OTHER,ONTARIO,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17275,2015,Property Damage & Injury Accident,2015-01-29,BLOOMING GROVE,OTHER,ORANGE,Curve at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17283,2015,Property Damage Accident,2015-01-18,HIGHLANDS,OTHER,ORANGE,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17300,2015,Property Damage & Injury Accident,2015-02-02,CLARENCE,OTHER,ERIE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17328,2015,Property Damage & Injury Accident,2015-01-19,ELLICOTTVILLE,OTHER,CATTARAUGUS,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17354,2015,Property Damage Accident,2015-02-04,BATH,OTHER,STEUBEN,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17355,2015,Property Damage Accident,2015-02-01,HOWARD,OTHER,STEUBEN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17356,2015,Property Damage & Injury Accident,2015-01-31,HORNBY,OTHER,STEUBEN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17371,2015,Property Damage Accident,2015-02-04,CATON,OTHER,STEUBEN,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17374,2015,Property Damage & Injury Accident,2015-01-31,CAMPBELL,OTHER,STEUBEN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17381,2015,Injury Accident,2015-02-04,WAYLAND,OTHER,STEUBEN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17406,2015,Property Damage & Injury Accident,2015-01-31,MAMAKATING,OTHER,SULLIVAN,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17419,2015,Property Damage Accident,2015-01-28,HORNELLSVILLE,OTHER,STEUBEN,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17427,2015,Property Damage Accident,2015-02-03,SHERBURNE,OTHER,CHENANGO,Curve at Hill Crest,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17450,2015,Property Damage Accident,2015-02-03,COLUMBIA,OTHER,HERKIMER,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17452,2015,Property Damage & Injury Accident,2015-01-19,MAMAKATING,OTHER,SULLIVAN,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17463,2015,Property Damage Accident,2015-02-02,SULLIVAN,OTHER,MADISON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17465,2015,Property Damage Accident,2015-02-02,VERNON,OTHER,ONEIDA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17482,2015,Property Damage Accident,2015-01-15,SENNETT,OTHER,CAYUGA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17493,2015,Property Damage Accident,2015-01-19,MONROE,OTHER,ORANGE,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17609,2015,Property Damage Accident,2015-01-18,FALLSBURGH,OTHER,SULLIVAN,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17616,2015,Property Damage Accident,2015-02-02,SULLIVAN,OTHER,MADISON,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17618,2015,Property Damage & Injury Accident,2015-02-01,LEBANON,OTHER,MADISON,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17641,2015,Property Damage Accident,2015-01-19,JEWETT,OTHER,GREENE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17654,2015,Property Damage Accident,2015-01-26,DAVENPORT,OTHER,DELAWARE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17711,2015,Property Damage & Injury Accident,2015-01-27,LENOX,OTHER,MADISON,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17783,2015,Property Damage & Injury Accident,2015-01-27,SCHROEPPEL,OTHER,OSWEGO,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17920,2015,Property Damage Accident,2015-01-30,WATERLOO,OTHER,SENECA,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
17958,2015,Injury Accident,2015-02-04,WESTFIELD,OTHER,CHAUTAUQUA,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18075,2015,Injury Accident,2015-02-02,FARMINGTON,OTHER,ONTARIO,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18082,2015,Property Damage Accident,2015-01-26,OXFORD,OTHER,CHENANGO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18121,2015,Property Damage & Injury Accident,2015-02-05,HAMBURG,OTHER,ERIE,Straight and Level,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18134,2015,Property Damage Accident,2015-02-02,ROME,OTHER,ONEIDA,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18168,2015,Property Damage Accident,2015-02-04,RICHMOND,OTHER,ONTARIO,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18193,2015,Property Damage Accident,2015-01-18,CONKLIN,OTHER,BROOME,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18196,2015,Property Damage & Injury Accident,2015-02-04,HEMPSTEAD,OTHER,NASSAU,Straight and Level,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18197,2015,Property Damage Accident,2015-01-16,DEPOSIT,OTHER,DELAWARE,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18216,2015,Property Damage Accident,2015-02-05,IRA,OTHER,CAYUGA,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18234,2015,Property Damage Accident,2015-02-04,HOMER,OTHER,CORTLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18271,2015,Property Damage Accident,2015-02-02,DUNKIRK,OTHER,CHAUTAUQUA,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18354,2015,Property Damage Accident,2015-01-30,CHATHAM,OTHER,COLUMBIA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18375,2015,Injury Accident,2015-02-01,WHEATFIELD,OTHER,NIAGARA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18380,2015,Property Damage & Injury Accident,2015-02-04,MINDEN,OTHER,MONTGOMERY,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18451,2015,Property Damage Accident,2015-02-04,ITHACA,OTHER,TOMPKINS,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18519,2015,Property Damage Accident,2015-01-03,AMENIA,OTHER,DUTCHESS,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18637,2015,Property Damage & Injury Accident,2015-02-01,BATAVIA,OTHER,GENESEE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18665,2015,Injury Accident,2015-02-04,OTEGO,OTHER,OTSEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18701,2015,Property Damage Accident,2015-02-01,ROSE,OTHER,WAYNE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
18723,2015,Property Damage Accident,2015-02-03,DRYDEN,OTHER,TOMPKINS,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
